time,college,count
09:30,1,2
09:30,3,10
09:30,4,1
09:30,5,2
09:30,6,3
09:30,9,2
09:30,A,2
09:30,B,1
09:45,1,4
09:45,2,2
09:45,3,2
09:45,4,2
09:45,5,4
09:45,6,2
09:45,8,1
09:45,9,2
09:45,A,3
10:00,1,8
10:00,2,1
10:00,3,20
10:00,4,1
10:00,6,5
10:00,9,1
10:00,A,7
10:00,B,2
10:15,1,3
10:15,2,1
10:15,3,7
10:15,5,4
10:15,6,2
10:15,7,1
10:15,9,1
10:15,A,3
10:15,B,1
10:30,1,2
10:30,2,1
10:30,3,3
10:30,5,1
10:30,6,3
10:30,7,1
10:45,1,1
10:45,2,1
10:45,3,1
10:45,4,1
10:45,5,2
10:45,6,1
10:45,A,2
11:00,1,8
11:00,3,3
11:00,5,1
11:00,6,1
11:00,A,4
11:15,1,11
11:15,2,2
11:15,3,6
11:15,5,2
11:15,6,1
11:15,A,2
11:30,1,3
11:30,3,3
11:30,5,1
11:30,6,1
11:30,7,2
11:30,A,5
11:45,1,3
11:45,2,2
11:45,3,5
11:45,4,1
11:45,5,3
11:45,6,1
11:45,7,4
11:45,9,1
11:45,A,5
11:45,B,1
12:00,1,7
12:00,2,1
12:00,3,16
12:00,4,4
12:00,5,6
12:00,6,4
12:00,7,5
12:00,A,6
12:00,B,1
12:15,1,14
12:15,2,6
12:15,3,40
12:15,4,2
12:15,5,8
12:15,6,8
12:15,7,19
12:15,9,2
12:15,A,27
12:15,B,1
12:30,1,3
12:30,2,2
12:30,3,30
12:30,4,3
12:30,5,4
12:30,6,13
12:30,7,2
12:30,9,10
12:30,A,11
12:30,B,2
12:45,1,6
12:45,2,1
12:45,3,14
12:45,4,2
12:45,5,7
12:45,6,3
12:45,7,3
12:45,9,2
12:45,A,11
12:45,B,2
13:00,1,9
13:00,2,1
13:00,3,8
13:00,4,3
13:00,5,8
13:00,6,7
13:00,7,10
13:00,9,8
13:00,A,22
13:00,B,3
13:15,1,8
13:15,2,1
13:15,3,12
13:15,4,4
13:15,5,4
13:15,6,4
13:15,7,9
13:15,9,2
13:15,A,10
13:30,1,3
13:30,3,17
13:30,5,3
13:30,7,3
13:30,9,3
13:30,A,6
13:30,B,3
13:30,H,1
13:45,1,7
13:45,2,1
13:45,3,10
13:45,4,2
13:45,5,3
13:45,6,4
13:45,7,4
13:45,9,3
13:45,A,5
14:00,1,4
14:00,3,18
14:00,4,2
14:00,5,3
14:00,6,2
14:00,7,4
14:00,9,3
14:00,A,5
14:15,1,7
14:15,2,1
14:15,3,25
14:15,4,2
14:15,5,2
14:15,6,2
14:15,7,4
14:15,9,1
14:15,A,3
14:15,B,1
14:30,1,5
14:30,2,1
14:30,3,9
14:30,4,1
14:30,5,2
14:30,7,1
14:30,9,2
14:30,A,4
14:45,1,2
14:45,3,9
14:45,4,1
14:45,5,3
14:45,6,1
14:45,7,1
14:45,9,1
14:45,A,1
15:00,1,4
15:00,3,15
15:00,4,2
15:00,5,1
15:00,6,1
15:00,7,3
15:00,9,6
15:00,A,5
15:15,1,7
15:15,2,6
15:15,3,31
15:15,4,7
15:15,5,6
15:15,6,4
15:15,7,11
15:15,A,22
15:15,B,1
15:30,1,4
15:30,2,1
15:30,3,10
15:30,5,4
15:30,6,2
15:30,7,1
15:30,9,2
15:30,A,11
15:30,B,1
15:45,1,3
15:45,3,4
15:45,5,1
15:45,6,2
15:45,7,2
15:45,A,1
15:45,H,1
16:00,1,1
16:00,2,1
16:00,3,2
16:00,5,1
16:00,6,2
16:00,7,1
16:00,8,1
16:00,A,7
16:15,1,4
16:15,2,2
16:15,3,12
16:15,6,3
16:15,9,1
16:15,B,1
16:30,1,2
16:30,3,8
16:30,4,1
16:30,5,4
16:30,6,2
16:30,7,1
16:30,9,1
16:30,A,2
16:45,1,6
16:45,3,3
16:45,4,1
16:45,5,1
16:45,7,3
16:45,8,3
16:45,9,2
16:45,A,2
17:00,1,3
17:00,3,12
17:00,4,7
17:00,5,1
17:00,6,1
17:00,9,1
17:00,A,3
17:00,B,2
17:15,1,10
17:15,3,10
17:15,4,3
17:15,5,2
17:15,6,2
17:15,7,1
17:15,8,1
17:15,A,4
17:15,B,1
17:30,1,19
17:30,3,22
17:30,4,3
17:30,5,11
17:30,6,2
17:30,7,4
17:30,9,3
17:30,A,5
17:45,1,3
17:45,2,4
17:45,3,7
17:45,4,2
17:45,5,4
17:45,6,2
17:45,7,2
17:45,9,3
17:45,A,7
18:00,1,2
18:00,3,3
18:00,4,2
18:00,5,2
18:00,6,1
18:00,9,3
18:00,A,3
18:15,1,5
18:15,2,4
18:15,3,7
18:15,5,5
18:15,6,3
18:15,7,4
18:15,9,2
18:15,A,5
18:15,B,2
