time,standing,count
09:30,B00,1
09:30,B02,4
09:30,B03,5
09:30,B04,7
09:30,B05,2
09:30,R,4
09:45,B02,2
09:45,B03,2
09:45,B04,3
09:45,B05,8
09:45,D,2
09:45,R,5
10:00,B01,2
10:00,B02,6
10:00,B03,8
10:00,B04,14
10:00,B05,15
10:15,B02,5
10:15,B03,5
10:15,B04,5
10:15,B05,5
10:15,R,3
10:30,B01,1
10:30,B02,1
10:30,B03,1
10:30,B04,3
10:30,B05,2
10:30,R,3
10:45,B01,1
10:45,B02,4
10:45,B03,1
10:45,B04,2
10:45,B05,1
11:00,B02,2
11:00,B03,5
11:00,B04,1
11:00,B05,7
11:00,R,2
11:15,B02,7
11:15,B03,6
11:15,B04,3
11:15,B05,6
11:15,D,1
11:15,R,1
11:30,B02,1
11:30,B03,8
11:30,B04,1
11:30,B05,2
11:30,R,3
11:45,B01,1
11:45,B02,3
11:45,B03,12
11:45,B05,6
11:45,D,1
11:45,R,3
12:00,B02,5
12:00,B03,14
12:00,B04,14
12:00,B05,12
12:00,R,5
12:15,B00,2
12:15,B01,2
12:15,B02,12
12:15,B03,31
12:15,B04,33
12:15,B05,34
12:15,R,13
12:30,B00,1
12:30,B01,1
12:30,B02,7
12:30,B03,17
12:30,B04,18
12:30,B05,29
12:30,B98,1
12:30,D,2
12:30,R,4
12:45,B02,4
12:45,B03,16
12:45,B04,16
12:45,B05,10
12:45,D,1
12:45,R,4
13:00,B01,1
13:00,B02,5
13:00,B03,17
13:00,B04,23
13:00,B05,21
13:00,R,12
13:15,B02,7
13:15,B03,16
13:15,B04,11
13:15,B05,14
13:15,D,1
13:15,R,5
13:30,B01,2
13:30,B02,4
13:30,B03,7
13:30,B04,12
13:30,B05,9
13:30,R,5
13:45,B00,2
13:45,B01,1
13:45,B02,6
13:45,B03,11
13:45,B04,6
13:45,B05,8
13:45,R,5
14:00,B01,2
14:00,B02,2
14:00,B03,13
14:00,B04,8
14:00,B05,8
14:00,B97,1
14:00,R,7
14:15,B01,1
14:15,B02,11
14:15,B03,8
14:15,B04,11
14:15,B05,14
14:15,R,3
14:30,B01,2
14:30,B02,7
14:30,B03,3
14:30,B04,5
14:30,B05,5
14:30,D,1
14:30,R,2
14:45,B02,3
14:45,B03,7
14:45,B04,2
14:45,B05,6
14:45,R,1
15:00,B01,3
15:00,B02,2
15:00,B03,9
15:00,B04,10
15:00,B05,9
15:00,D,1
15:00,R,3
15:15,B01,1
15:15,B02,11
15:15,B03,21
15:15,B04,15
15:15,B05,38
15:15,B99,1
15:15,D,1
15:15,R,7
15:30,B01,1
15:30,B02,4
15:30,B03,7
15:30,B04,3
15:30,B05,18
15:30,D,1
15:30,R,2
15:45,B01,1
15:45,B02,1
15:45,B03,3
15:45,B04,4
15:45,B05,2
15:45,R,3
16:00,B03,3
16:00,B04,4
16:00,B05,8
16:00,R,1
16:15,B02,7
16:15,B03,4
16:15,B04,7
16:15,B05,4
16:15,R,1
16:30,B00,1
16:30,B02,2
16:30,B03,6
16:30,B04,6
16:30,B05,2
16:30,D,2
16:30,R,2
16:45,B02,5
16:45,B03,5
16:45,B04,3
16:45,B05,3
16:45,D,4
16:45,P,1
17:00,B01,1
17:00,B02,7
17:00,B03,8
17:00,B04,8
17:00,B05,4
17:00,D,1
17:00,R,1
17:15,B02,7
17:15,B03,8
17:15,B04,5
17:15,B05,12
17:15,R,2
17:30,B02,11
17:30,B03,23
17:30,B04,14
17:30,B05,19
17:30,R,2
17:45,B02,7
17:45,B03,11
17:45,B04,8
17:45,B05,6
17:45,R,2
18:00,B02,4
18:00,B03,5
18:00,B04,4
18:00,B05,1
18:00,D,2
18:15,B02,6
18:15,B03,13
18:15,B04,10
18:15,B05,5
18:15,D,1
18:15,R,2
