time,station,count
09:30,二活,1
09:30,共同,1
09:30,大一女,3
09:30,新生,3
09:30,普通,3
09:30,活大,2
09:30,男一,4
09:30,頤賢,6
09:45,二活,1
09:45,公衛,3
09:45,共同,2
09:45,大一女,4
09:45,普通,5
09:45,水源,1
09:45,活大,2
09:45,醫圖,2
09:45,霖澤,2
10:00,二活,1
10:00,共同,9
10:00,大一女,6
10:00,新生,3
10:00,普通,6
10:00,水源,1
10:00,活大,2
10:00,男一,1
10:00,霖澤,6
10:00,頤賢,10
10:15,共同,6
10:15,大一女,1
10:15,新生,2
10:15,活大,4
10:15,男一,5
10:15,頤賢,5
10:30,大一女,2
10:30,新生,1
10:30,活大,1
10:30,男一,1
10:30,醫圖,2
10:30,霖澤,2
10:30,頤賢,2
10:45,大一女,1
10:45,新生,1
10:45,活大,5
10:45,男一,1
10:45,霖澤,1
11:00,共同,4
11:00,大一女,3
11:00,水源,4
11:00,活大,2
11:00,男一,2
11:00,霖澤,1
11:00,頤賢,1
11:15,共同,6
11:15,新生,2
11:15,普通,1
11:15,水源,5
11:15,活大,2
11:15,男一,1
11:15,頤賢,7
11:30,大一女,1
11:30,普通,1
11:30,水源,2
11:30,男一,4
11:30,霖澤,5
11:30,頤賢,2
11:45,二活,2
11:45,大一女,3
11:45,新生,2
11:45,普通,4
11:45,活大,5
11:45,男一,6
11:45,醫圖,1
11:45,霖澤,2
11:45,頤賢,1
12:00,二活,5
12:00,公衛,1
12:00,共同,5
12:00,大一女,6
12:00,新生,5
12:00,普通,5
12:00,水源,4
12:00,活大,4
12:00,男一,4
12:00,醫圖,3
12:00,霖澤,2
12:00,頤賢,6
12:15,二活,16
12:15,公衛,1
12:15,共同,16
12:15,大一女,10
12:15,新生,8
12:15,普通,12
12:15,水源,1
12:15,活大,8
12:15,男一,12
12:15,醫圖,2
12:15,霖澤,23
12:15,頤賢,18
12:30,二活,2
12:30,共同,5
12:30,大一女,18
12:30,新生,3
12:30,普通,4
12:30,活大,12
12:30,男一,12
12:30,醫圖,2
12:30,霖澤,5
12:30,頤賢,17
12:45,二活,4
12:45,公衛,1
12:45,共同,4
12:45,大一女,1
12:45,普通,3
12:45,活大,6
12:45,男一,8
12:45,醫圖,5
12:45,霖澤,8
12:45,頤賢,11
13:00,二活,5
13:00,共同,6
13:00,大一女,7
13:00,新生,8
13:00,普通,13
13:00,活大,6
13:00,男一,7
13:00,醫圖,4
13:00,霖澤,21
13:00,頤賢,2
13:15,二活,7
13:15,共同,7
13:15,大一女,5
13:15,新生,1
13:15,普通,4
13:15,活大,3
13:15,男一,6
13:15,醫圖,5
13:15,霖澤,7
13:15,頤賢,9
13:30,二活,3
13:30,共同,2
13:30,大一女,4
13:30,普通,6
13:30,水源,1
13:30,活大,4
13:30,男一,3
13:30,霖澤,3
13:30,頤賢,13
13:45,二活,4
13:45,共同,1
13:45,大一女,2
13:45,新生,5
13:45,普通,3
13:45,活大,6
13:45,男一,6
13:45,醫圖,2
13:45,霖澤,2
13:45,頤賢,8
14:00,二活,3
14:00,共同,1
14:00,大一女,4
14:00,新生,4
14:00,普通,3
14:00,活大,1
14:00,男一,4
14:00,醫圖,2
14:00,霖澤,5
14:00,頤賢,14
14:15,二活,5
14:15,大一女,1
14:15,新生,2
14:15,普通,4
14:15,水源,2
14:15,活大,7
14:15,男一,3
14:15,醫圖,3
14:15,頤賢,21
14:30,二活,4
14:30,共同,1
14:30,大一女,2
14:30,新生,1
14:30,普通,5
14:30,活大,4
14:30,男一,1
14:30,醫圖,1
14:30,頤賢,6
14:45,共同,1
14:45,大一女,3
14:45,新生,4
14:45,普通,2
14:45,男一,5
14:45,頤賢,4
15:00,二活,2
15:00,共同,4
15:00,大一女,3
15:00,新生,1
15:00,普通,6
15:00,水源,1
15:00,活大,2
15:00,男一,2
15:00,醫圖,5
15:00,頤賢,11
15:15,二活,7
15:15,公衛,2
15:15,共同,9
15:15,大一女,11
15:15,新生,6
15:15,普通,18
15:15,活大,3
15:15,男一,6
15:15,醫圖,6
15:15,霖澤,7
15:15,頤賢,20
15:30,二活,1
15:30,公衛,1
15:30,共同,3
15:30,大一女,3
15:30,新生,6
15:30,普通,3
15:30,活大,2
15:30,男一,7
15:30,霖澤,5
15:30,頤賢,5
15:45,二活,2
15:45,公衛,1
15:45,共同,1
15:45,大一女,2
15:45,普通,4
15:45,水源,1
15:45,活大,1
15:45,頤賢,2
16:00,二活,1
16:00,大一女,8
16:00,普通,3
16:00,活大,1
16:00,男一,1
16:00,頤賢,2
16:15,共同,2
16:15,大一女,1
16:15,新生,1
16:15,普通,6
16:15,水源,1
16:15,活大,4
16:15,男一,2
16:15,醫圖,1
16:15,頤賢,5
16:30,二活,1
16:30,共同,1
16:30,大一女,4
16:30,新生,1
16:30,普通,4
16:30,活大,3
16:30,男一,4
16:30,醫圖,1
16:30,頤賢,2
16:45,二活,4
16:45,公衛,4
16:45,大一女,3
16:45,活大,5
16:45,男一,2
16:45,醫圖,1
16:45,霖澤,1
16:45,頤賢,1
17:00,二活,1
17:00,大一女,2
17:00,普通,9
17:00,水源,1
17:00,活大,1
17:00,男一,2
17:00,醫圖,7
17:00,霖澤,2
17:00,頤賢,5
17:15,二活,2
17:15,公衛,1
17:15,大一女,4
17:15,新生,2
17:15,普通,10
17:15,男一,1
17:15,醫圖,3
17:15,霖澤,4
17:15,頤賢,7
17:30,二活,4
17:30,共同,5
17:30,大一女,3
17:30,新生,11
17:30,普通,9
17:30,水源,1
17:30,活大,11
17:30,男一,4
17:30,醫圖,2
17:30,霖澤,2
17:30,頤賢,17
17:45,二活,5
17:45,公衛,1
17:45,共同,1
17:45,大一女,4
17:45,新生,1
17:45,普通,6
17:45,活大,6
17:45,男一,3
17:45,醫圖,1
17:45,霖澤,3
17:45,頤賢,3
18:00,共同,2
18:00,大一女,4
18:00,新生,1
18:00,普通,3
18:00,活大,1
18:00,男一,1
18:00,醫圖,2
18:00,霖澤,2
18:15,二活,7
18:15,共同,7
18:15,大一女,2
18:15,新生,3
18:15,普通,1
18:15,活大,10
18:15,男一,3
18:15,霖澤,2
18:15,頤賢,2
