college,time,count
1,09:30,1
1,09:45,1
1,10:00,7
1,10:15,7
1,10:30,8
1,10:45,6
1,11:00,4
1,11:15,6
1,11:30,1
1,11:45,4
1,12:00,12
1,12:15,22
1,12:30,11
1,12:45,17
1,13:00,17
1,13:15,7
1,14:00,10
1,14:15,24
1,14:30,14
1,14:45,9
1,15:00,4
1,15:15,26
1,15:30,13
1,15:45,8
1,16:00,4
1,16:15,8
1,16:30,8
1,16:45,2
1,17:00,4
1,17:15,9
1,17:30,12
1,17:45,6
1,18:00,8
1,18:15,6
1,18:30,9
1,19:15,2
1,19:30,1
1,19:45,2
2,09:45,1
2,10:00,2
2,10:15,5
2,10:30,1
2,10:45,3
2,11:00,3
2,11:15,2
2,11:30,3
2,11:45,2
2,12:15,13
2,12:30,15
2,12:45,14
2,13:00,3
2,13:15,1
2,14:00,4
2,14:15,6
2,14:30,3
2,14:45,1
2,15:00,1
2,15:15,7
2,15:30,3
2,15:45,2
2,16:00,6
2,16:15,2
2,16:30,3
2,16:45,2
2,17:00,2
2,17:15,2
2,17:30,6
2,17:45,3
2,18:00,5
2,18:15,2
2,18:30,5
2,18:45,1
2,19:30,2
2,20:00,1
3,09:30,6
3,09:45,9
3,10:00,16
3,10:15,10
3,10:30,7
3,10:45,7
3,11:00,3
3,11:15,9
3,11:30,8
3,11:45,9
3,12:00,10
3,12:15,24
3,12:30,20
3,12:45,13
3,13:00,24
3,13:15,20
3,14:00,10
3,14:15,43
3,14:30,14
3,14:45,26
3,15:00,14
3,15:15,44
3,15:30,27
3,15:45,9
3,16:00,9
3,16:15,11
3,16:30,11
3,16:45,12
3,17:00,6
3,17:15,11
3,17:30,19
3,17:45,19
3,18:00,25
3,18:15,16
3,18:45,2
3,19:00,2
3,19:15,1
3,19:45,1
4,09:45,7
4,10:00,18
4,10:15,3
4,10:30,1
4,10:45,3
4,11:00,1
4,11:15,3
4,11:30,2
4,11:45,3
4,12:00,5
4,12:15,14
4,12:30,9
4,12:45,15
4,13:00,12
4,13:15,5
4,14:15,2
4,14:30,2
4,14:45,1
4,15:00,6
4,15:15,20
4,15:30,25
4,15:45,4
4,16:00,7
4,16:15,6
4,16:30,3
4,17:00,3
4,17:15,16
4,17:30,10
4,17:45,5
4,18:00,1
4,18:15,10
4,18:30,1
5,09:45,1
5,10:00,7
5,10:15,10
5,10:30,2
5,10:45,6
5,11:00,7
5,11:15,9
5,11:30,1
5,11:45,4
5,12:00,8
5,12:15,17
5,12:30,6
5,12:45,7
5,13:00,13
5,13:15,3
5,14:00,1
5,14:15,10
5,14:30,6
5,14:45,11
5,15:00,6
5,15:15,16
5,15:30,6
5,15:45,1
5,16:00,2
5,16:15,8
5,16:30,8
5,16:45,2
5,17:00,2
5,17:15,6
5,17:30,8
5,17:45,4
5,18:00,5
5,18:15,3
5,18:30,4
5,18:45,2
5,19:00,1
5,19:15,4
6,09:30,1
6,09:45,7
6,10:00,23
6,10:15,5
6,10:30,4
6,10:45,3
6,11:00,5
6,11:15,11
6,11:30,6
6,11:45,6
6,12:00,25
6,12:15,34
6,12:30,26
6,12:45,23
6,13:00,13
6,13:15,2
6,14:00,6
6,14:15,14
6,14:30,6
6,14:45,4
6,15:00,18
6,15:15,16
6,15:30,4
6,15:45,5
6,16:00,4
6,16:15,8
6,16:30,12
6,16:45,4
6,17:00,13
6,17:15,11
6,17:30,17
6,17:45,9
6,18:00,6
6,18:15,9
6,18:30,7
6,18:45,1
6,19:00,2
6,19:15,1
6,19:45,1
7,09:30,2
7,09:45,3
7,10:00,15
7,10:15,1
7,10:30,2
7,10:45,1
7,11:00,5
7,11:15,6
7,11:30,3
7,11:45,4
7,12:00,6
7,12:15,12
7,12:30,9
7,12:45,4
7,13:00,15
7,13:15,10
7,14:00,5
7,14:15,6
7,14:30,7
7,14:45,2
7,15:00,5
7,15:15,14
7,15:30,9
7,16:00,6
7,16:15,13
7,16:30,8
7,16:45,5
7,17:00,7
7,17:15,9
7,17:30,11
7,17:45,9
7,18:00,5
7,18:15,3
7,18:30,1
7,19:00,1
8,09:30,1
8,09:45,1
8,10:00,2
8,10:45,1
8,11:00,2
8,12:00,2
8,12:15,1
8,12:30,4
8,12:45,2
8,13:00,1
8,14:30,3
8,15:00,2
8,15:15,1
8,16:45,4
8,17:00,1
8,17:15,1
8,17:45,1
8,18:15,2
9,09:30,2
9,09:45,1
9,10:00,9
9,10:15,5
9,10:30,2
9,11:15,2
9,11:30,1
9,11:45,1
9,12:00,7
9,12:15,7
9,12:30,9
9,12:45,9
9,13:00,9
9,13:15,7
9,14:00,2
9,14:15,9
9,14:30,6
9,14:45,2
9,15:00,7
9,15:15,6
9,15:30,6
9,15:45,3
9,16:00,1
9,16:15,3
9,16:30,6
9,16:45,1
9,17:00,7
9,17:15,1
9,17:30,4
9,17:45,4
9,18:00,1
9,18:15,10
9,18:30,1
9,18:45,1
9,19:00,1
9,19:15,2
9,19:45,1
A,09:30,8
A,09:45,3
A,10:00,5
A,10:15,7
A,10:30,5
A,10:45,4
A,11:00,4
A,11:15,2
A,11:30,11
A,11:45,4
A,12:00,9
A,12:15,26
A,12:30,9
A,12:45,13
A,13:00,10
A,13:15,4
A,14:00,9
A,14:15,10
A,14:30,10
A,14:45,3
A,15:00,7
A,15:15,35
A,15:30,32
A,15:45,8
A,16:00,4
A,16:15,10
A,16:30,9
A,16:45,7
A,17:00,4
A,17:15,8
A,17:30,15
A,17:45,5
A,18:00,4
A,18:15,8
A,18:30,1
A,18:45,2
A,19:15,1
A,19:30,4
B,10:00,3
B,10:30,1
B,10:45,3
B,12:00,1
B,12:15,5
B,12:30,8
B,13:00,1
B,13:15,1
B,14:15,3
B,14:45,1
B,15:15,2
B,15:30,4
B,15:45,1
B,16:30,2
B,16:45,4
B,17:45,1
B,18:00,5
B,18:15,3
B,18:30,2
