college,standing,count
1,B01,1
1,B02,6
1,B03,52
1,B04,47
1,B05,66
1,B06,89
1,D,3
1,R,17
2,B00,1
2,B02,5
2,B03,15
2,B04,34
2,B05,9
2,B06,8
2,D,2
2,R,19
3,B02,10
3,B03,49
3,B04,70
3,B05,119
3,B06,59
3,D,5
3,P,1
3,R,82
4,B00,4
4,B01,4
4,B02,25
4,B03,24
4,B04,22
4,B05,19
4,B06,32
4,R,8
4,T,1
5,B01,2
5,B02,11
5,B03,54
5,B04,45
5,B05,58
5,B06,28
5,D,5
5,R,41
6,B02,6
6,B03,43
6,B04,57
6,B05,51
6,B06,26
6,R,8
7,B02,5
7,B03,16
7,B04,28
7,B05,45
7,B06,92
7,R,7
8,B04,1
8,B05,1
9,B02,5
9,B03,24
9,B04,32
9,B05,49
9,B06,18
9,D,1
9,R,30
A,B02,1
A,B03,19
A,B04,31
A,B05,59
A,B06,86
A,R,46
B,B02,1
B,B03,3
B,B04,2
B,B05,2
B,D,1
B,R,3
