standing,time,count
B00,11:45,1
B00,12:45,1
B00,13:00,1
B00,13:45,1
B00,17:15,1
B01,12:30,1
B01,14:15,1
B01,14:45,1
B01,15:15,1
B01,17:15,1
B01,17:45,2
B02,09:45,1
B02,10:00,3
B02,10:30,1
B02,10:45,1
B02,11:15,1
B02,11:30,1
B02,12:00,1
B02,12:15,13
B02,12:30,5
B02,12:45,4
B02,13:00,4
B02,13:15,6
B02,13:30,3
B02,13:45,1
B02,14:00,3
B02,14:45,3
B02,15:00,1
B02,15:15,6
B02,15:30,1
B02,16:00,2
B02,16:30,1
B02,16:45,2
B02,17:00,3
B02,17:15,2
B02,17:30,2
B02,17:45,4
B03,10:00,8
B03,10:15,3
B03,10:30,4
B03,10:45,3
B03,11:00,5
B03,11:15,6
B03,11:30,3
B03,11:45,4
B03,12:00,8
B03,12:15,32
B03,12:30,14
B03,12:45,5
B03,13:00,11
B03,13:15,14
B03,13:30,7
B03,13:45,10
B03,14:00,10
B03,14:15,8
B03,14:30,4
B03,14:45,6
B03,15:00,13
B03,15:15,32
B03,15:30,10
B03,15:45,7
B03,16:00,4
B03,16:15,7
B03,16:30,6
B03,16:45,8
B03,17:00,3
B03,17:15,15
B03,17:30,20
B03,17:45,8
B03,18:00,1
B04,09:30,1
B04,10:00,12
B04,10:15,7
B04,10:30,4
B04,10:45,3
B04,11:00,8
B04,11:15,4
B04,11:30,6
B04,11:45,3
B04,12:00,18
B04,12:15,31
B04,12:30,19
B04,12:45,16
B04,13:00,22
B04,13:15,16
B04,13:30,14
B04,13:45,10
B04,14:00,13
B04,14:15,11
B04,14:30,3
B04,14:45,2
B04,15:00,12
B04,15:15,26
B04,15:30,5
B04,15:45,5
B04,16:00,4
B04,16:15,14
B04,16:30,6
B04,16:45,12
B04,17:00,10
B04,17:15,12
B04,17:30,25
B04,17:45,15
B05,09:30,1
B05,10:00,23
B05,10:15,8
B05,10:45,9
B05,11:00,6
B05,11:15,3
B05,11:30,5
B05,11:45,2
B05,12:00,15
B05,12:15,31
B05,12:30,31
B05,12:45,13
B05,13:00,40
B05,13:15,27
B05,13:30,14
B05,13:45,20
B05,14:00,14
B05,14:15,23
B05,14:30,10
B05,14:45,4
B05,15:00,13
B05,15:15,34
B05,15:30,13
B05,15:45,6
B05,16:00,10
B05,16:15,14
B05,16:30,7
B05,16:45,2
B05,17:00,8
B05,17:15,24
B05,17:30,33
B05,17:45,14
B05,18:00,1
B06,09:45,1
B06,10:00,19
B06,10:15,5
B06,10:30,2
B06,10:45,1
B06,11:00,7
B06,11:15,4
B06,11:30,6
B06,11:45,3
B06,12:00,14
B06,12:15,56
B06,12:30,19
B06,12:45,10
B06,13:00,18
B06,13:15,38
B06,13:30,19
B06,13:45,18
B06,14:00,17
B06,14:15,17
B06,14:30,8
B06,14:45,9
B06,15:00,5
B06,15:15,35
B06,15:30,7
B06,15:45,5
B06,16:00,4
B06,16:15,7
B06,16:30,20
B06,16:45,2
B06,17:00,7
B06,17:15,21
B06,17:30,21
B06,17:45,12
B06,18:00,1
D,10:30,1
D,10:45,1
D,11:00,1
D,11:15,1
D,12:00,2
D,12:15,1
D,12:45,3
D,14:00,1
D,14:15,2
D,15:30,1
D,16:45,1
D,17:30,1
D,17:45,1
P,13:00,1
R,10:00,3
R,10:15,4
R,10:30,5
R,10:45,1
R,11:00,2
R,11:15,2
R,11:30,6
R,11:45,4
R,12:00,12
R,12:15,15
R,12:30,16
R,12:45,13
R,13:00,9
R,13:15,6
R,13:30,8
R,13:45,8
R,14:00,8
R,14:15,11
R,14:30,6
R,14:45,6
R,15:00,12
R,15:15,13
R,15:30,7
R,15:45,4
R,16:00,3
R,16:15,10
R,16:30,15
R,16:45,10
R,17:00,4
R,17:15,12
R,17:30,13
R,17:45,13
T,17:30,1
